"Player","Team","TotalFO","FOW","FOL","FO%"
Nico Hischier,NJD,1086,599,487,55.2
Sidney Crosby,PIT,1046,581,465,55.5
Sean Monahan,CBJ,886,456,430,51.5
Chandler Stephenson,SEA,860,442,418,51.4
Mikael Backlund,CGY,846,407,439,48.1
Vincent Trocheck,NYR,823,494,329,60.0
Anže Kopitar,LAK,819,456,363,55.7
Dylan Larkin,DET,817,468,349,57.3
Jordan Staal,CAR,800,435,365,54.4
Nathan MacKinnon,COL,793,383,410,48.3
Elias Lindholm,BOS,778,425,353,54.6
Leon Draisaitl,EDM,757,428,329,56.5
Adam Lowry,WPG,746,386,360,51.7
Nazem Kadri,CGY,746,336,410,45.0
John Tavares,TOR,744,423,321,56.9
Dylan Strome,WSH,707,387,320,54.7
Jason Dickinson,CHI,699,339,360,48.5
Dylan Cozens,BUF,669,328,341,49.0
Sean Couturier,PHI,662,373,289,56.3
Jack Eichel,VEG,659,311,348,47.2
Brayden Schenn,STL,655,326,329,49.8
Nic Dowd,WSH,655,320,335,48.9
Anthony Cirelli,TBL,653,335,318,51.3
Mark Scheifele,WPG,652,317,335,48.6
Sebastian Aho,CAR,651,368,283,56.5
